planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
HD 162020 b,HD 162020,1,1,Radial Velocity,2002,La Silla Observatory,8.4282,0.08,0.28,12.5,3127.4472,650,K3 V,4723,0.75,0.42,-0.1,4.31,267.6599252,-40.3184646,30.8248,9.1,0,
HD 163607 b,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,75.2203,0.362,0.7441,13.9,249.051588,,G5,5522,1.76,1.12,0.21,3.97,268.4181383,56.3924701,67.7855,8,0,
HD 163607 c,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,1272,2.39,0.08,13.3,699.54383,,G5,5522,1.76,1.12,0.21,3.97,268.4181383,56.3924701,67.7855,8,0,
HD 16417 b,HD 16417,2,1,Radial Velocity,2008,Anglo-Australian Telescope,17.24,0.14,0.2,5,22.1,,G1 V,5841,1.639984,1.2,0.06,4.16,39.2441029,-34.5790905,25.3936,5.78,0,
HD 164509 b,HD 164509,2,1,Radial Velocity,2010,W. M. Keck Observatory,280.17,0.87,0.238,14.3,140.79869,,G5,5859,1.11,1.12,0.2,4.44,270.3800811,0.1044685,53.1119,8.1,0,
HD 164595 b,HD 164595,2,1,Radial Velocity,2015,Haute-Provence Observatory,40,0.23,0.088,4.16,16.14,,G2 V,5790,1.023606,0.99,-0.04,4.44,270.1613723,29.5726698,28.254,7.08597,0,
HD 164604 b,HD 164604,1,1,Radial Velocity,2009,Las Campanas Observatory,641.472,1.331,0.35,12.3,4544.94622,,K3.5 V,4684,0.77124,0.77,-0.18,4.61763,270.7787177,-28.5608343,39.3633,9.62,0,
HD 164922 b,HD 164922,1,4,Radial Velocity,2005,W. M. Keck Observatory,1207,2.16,0.08,13.3,116,159.4,G9 V,5390,0.946,0.926,0.18,4.46,270.6304652,26.3104077,22.0016,7.01227,0,0.1578
HD 164922 c,HD 164922,1,4,Radial Velocity,2016,Multiple Observatories,75.74,0.341,0.12,3.66,13,400.5,G9 V,5390,0.946,0.926,0.18,4.46,270.6304652,26.3104077,22.0016,7.01227,0,6.29
HD 164922 d,HD 164922,1,4,Radial Velocity,2020,Roque de los Muchachos Observatory,12.458,0.103,0.12,1.83,4,,G9 V,5390,0.946,0.926,0.18,4.46,270.6304652,26.3104077,22.0016,7.01227,0,
HD 164922 e,HD 164922,1,4,Radial Velocity,2021,Multiple Observatories,41.763,0.2292,0.086,3.23,10.52012027,,G9 V,5393.43,1.001813,0.921146,0.1967,4.398073,270.6304652,26.3104077,22.0016,7.01227,0,
HD 165131 b,HD 165131,1,1,Radial Velocity,2023,Multiple Facilities,2342.6,3.54,0.6708,12.1,5943.391211,,G3/5 V,5870,1.06419,1.06,0.06,4.39,271.3444007,-21.6737039,57.4263,8.42,0,
HD 165155 b,HD 165155,1,1,Radial Velocity,2016,Multiple Observatories,434.5,1.13,0.2,13.2,918.5287,,G8 V,5426,0.95,1.02,0.09,4.49,271.4893395,-29.9172536,63.3574,9.36,0,
HD 1666 b,HD 1666,1,1,Radial Velocity,2015,Multiple Observatories,270,0.94,0.63,12.7,2040,,F7 V,6317,1.93,1.5,0.37,4.06,5.2180424,-19.9314823,117.908,8.17,0,
HD 166724 b,HD 166724,1,1,Radial Velocity,2012,La Silla Observatory,5144,5.42,0.734,13,1207.747947,,K0 IV-V,5127,0.797485,0.81,-0.09,4.43,273.4988604,-42.5757218,45.1342,9.33,0,
HD 167042 b,HD 167042,1,1,Radial Velocity,2007,Lick Observatory,417.67,1.22,0.01,13.6,444.0062846,,K1 IV,4919,4.63,1.39,-0.01,3.23,272.6326268,54.2876184,49.6633,5.98796,0,
HD 167677 b,HD 167677,1,1,Radial Velocity,2023,Multiple Facilities,1820,2.877,0.182,13.2,905.81096,,G5 V,5474,0.95271,0.96,-0.29,4.43,274.2067844,-11.4067857,54.3258,8.9,0,
HD 167768 b,HD 167768,1,1,Radial Velocity,2022,Okayama Astrophysical Observatory,20.6532,0.1512,0.149,13.9,270.154146,,G8 III,4851,9.7,1.08,-0.67,2.5,274.2213308,-3.0085807,107.214,5.98894,0,
HD 168009 b,HD 168009,1,1,Radial Velocity,2021,Multiple Observatories,15.1479,0.1192,0.12,3.05,9.53485221,,G2V,5778.33,1.209505,0.986073,0.0183,4.265027,273.8847918,45.2088229,23.3032,6.295,0,
HD 168443 b,HD 168443,1,2,Radial Velocity,1998,W. M. Keck Observatory,58.11187,0.292,0.53,12.6,2424.395089,,G5,5491,1.711479,0.98,0.04,3.987745,275.0159879,-9.5966905,39.6245,6.92122,0,
HD 168443 c,HD 168443,1,2,Radial Velocity,2000,W. M. Keck Observatory,1753.1096,2.842,0.21,12.2,5500.338412,,G5,5491,1.711479,0.98,0.04,3.987745,275.0159879,-9.5966905,39.6245,6.92122,0,
HD 168746 b,HD 168746,1,1,Radial Velocity,2002,La Silla Observatory,6.404,0.07,0.11,11.1,85.8141,900,G5,5570,1.09,1.07,-0.08,4.39,275.4573269,-11.9229757,41.5681,7.95,0,
HD 168863 b,HD 168863,1,1,Radial Velocity,2022,Multiple Observatories,14773.93272,10.961,0.187,12.7,2154.876599,,,4905,0.777826,0.8,0.16,4.55939,275.6642157,-18.0219726,39.8979,9.35,0,
HD 1690 b,HD 1690,1,1,Radial Velocity,2010,La Silla Observatory,533,1.36,0.64,12.5,2793.7257,,K1 III,4374,21.66,1.86,-0.27,2.04,5.3055886,-8.2811442,752.615,9.19,0,
HD 16905 b,HD 16905,1,1,Radial Velocity,2022,Multiple Observatories,10256,8.8,0.68,12.4,3591.460999,,K3 V,4866.12,0.77494,0.85,0.2405,4.55716,40.0136203,-61.3550396,39.7401,9.44,0,
HD 169142 b,HD 169142,1,1,Imaging,2023,Paranal Observatory,,37.2,,13.1,953.485221,,,7246,1.53702,1.85,,4.27689,276.1240717,-29.7805318,113.6,8.156,0,
HD 169830 b,HD 169830,1,2,Radial Velocity,2000,La Silla Observatory,225.67372,0.765,0.294,13.2,804.4236981,345,F8 V,6300,1.935709,1.17,0.21,4.008828,276.9561859,-29.8167919,37.6048,5.9,0,
HD 169830 c,HD 169830,1,2,Radial Velocity,2003,La Silla Observatory,1818.82339,3.075,0.246,12.6,2437.426053,,F7 V,6300,1.935709,1.17,0.21,4.008828,276.9561859,-29.8167919,37.6048,5.9,0,
HD 170469 b,HD 170469,2,1,Radial Velocity,2007,W. M. Keck Observatory,1145,2.24,0.11,14.1,209.7678,,G5 IV,5842,1.24,1.1,0.29,4.3,277.2955423,11.6954244,60.178,8.21,0,
HD 17092 b,HD 17092,1,1,Radial Velocity,2007,McDonald Observatory,359.89999,1.31,0.17,12.5,3219.6179,,K0 III,4326,13.58,6.73,0.18,3,41.5924261,49.6530375,228.422,7.732,0,
HD 171028 b,HD 171028,1,1,Radial Velocity,2007,La Silla Observatory,550,1.32,0.59,13.2,832.7146,,G0,5671,2.47,1.53,-0.48,3.84,278.0643694,6.9456827,111.659,8.292,0,
HD 171238 b,HD 171238,1,1,Radial Velocity,2009,La Silla Observatory,1515,2.518,0.358,12.5,2796.889982,,G8 V,5467,1.01,0.92,0.2,4.43,278.6818389,-28.0727849,44.8113,8.61,0,
HD 17156 b,HD 17156,1,1,Radial Velocity,2007,Subaru Telescope,21.2164294,0.1632,0.6772,1.094,3.26,888,G5,6046,1.517,1.285,0.208,4.184,42.4366123,71.7530882,78.0863,8.17,0,68.8
HD 173416 b,HD 173416,1,1,Radial Velocity,2008,Xinglong Station,322.03,1.158,0.208,13.4,585.1220973,,G8,4683,13.5,2,-0.22,2.48,280.9005676,36.556857,132.184,6.04188,0,
HD 174205 b,HD 174205,1,1,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,582,1.7,0.4,13,1334.879309,,K2,4308,26.6,1.8,-0.28,1.8,280.7932014,70.7928237,234.027,6.28209,0,
HD 175167 b,HD 175167,1,1,Radial Velocity,2009,Las Campanas Observatory,1175,2.4,0.51,12.3,4703.860424,,G5 IV/V,5635,1.75,1.09,0.28,4.09,285.0033888,-69.9450664,71.0863,8.01,0,
HD 175541 b,HD 175541,1,1,Radial Velocity,2007,W. M. Keck Observatory,298.43,0.975,0.11,14.1,190.06234,,G8 IV,5013,4.19,1.39,-0.07,3.33,283.9203211,4.2649344,129.603,8.020001,0,
HD 175607 b,HD 175607,1,1,Radial Velocity,2015,La Silla Observatory,29.01,,0.11,2.94,8.98,,G6 V,5392,0.7,0.71,-0.62,4.64,285.2742901,-66.1943379,40.3303,8.6,0,
HD 17674 b,HD 17674,1,1,Radial Velocity,2017,Haute-Provence Observatory,623.8,1.42,0.13,13.9,276.5121,,G0 V,5904,1.18,0.98,-0.16,4.34,42.7684964,30.2865981,44.4264,7.535,0,
HD 176986 b,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,6.4898,0.06296,0.066,2.26,5.74,,K2.5 V,4931,0.782,0.789,0.03,4.44,285.7739138,-11.044941,27.7843,8.42,0,83.5
HD 176986 c,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,16.8191,0.11878,0.111,2.98,9.18,,K2.5 V,4931,0.782,0.789,0.03,4.44,285.7739138,-11.044941,27.7843,8.42,0,23.5
HD 177565 b,HD 177565,1,1,Radial Velocity,2017,La Silla Observatory,44.505,0.246,0.0593,4,15.1,,G8V,5627,0.971489,1,0.0812,4.39,286.7175787,-37.8122394,16.9179,6.15,0,
HD 177830 b,HD 177830,2,2,Radial Velocity,1999,W. M. Keck Observatory,410.10001,1.14,0.1,13.5,537.1327,,K0,4901,3.26,1.7,0.42,3.64,286.3363574,25.9204327,62.7674,7.18,0,
HD 177830 c,HD 177830,2,2,Radial Velocity,2010,W. M. Keck Observatory,110.9,0.5137,0.3,7.87,47.6725,,K0,4949,2.62,1.47,0.545,3.65,286.3363574,25.9204327,62.7674,7.18,0,
HD 178911 B b,HD 178911 B,3,1,Radial Velocity,2001,W. M. Keck Observatory,71.484,0.34,0.11,12.6,2552.1749,,G5,5588,1.08,1.24,0.24,4.46,287.2632091,34.6006972,40.9727,7.97,0,
HD 179079 b,HD 179079,1,1,Radial Velocity,2008,W. M. Keck Observatory,14.479,0.1214,0.049,5.48,25.74423,,G5 IV,5646,1.63,1.14,0.24,4.16,287.7903733,-2.6387703,69.7116,7.95,0,
HD 179949 b,HD 179949,1,1,Radial Velocity,2000,Anglo-Australian Telescope,3.092514,0.0443,0.022,13.9,291.12,,F8 V,6168,1.266865,1.21,0.137,4.341,288.8890182,-24.1797939,27.4573,6.25,0,
HD 180053 b,HD 180053,1,1,Radial Velocity,2018,W. M. Keck Observatory,213.72,0.843,0.081,13.3,697.31902,,K0,5131,4.06,1.75,0.25,3.54,288.4008374,34.9146658,137.043,7.93,0,
HD 18015 b,HD 18015,1,1,Radial Velocity,2018,W. M. Keck Observatory,2278,3.87,0.148,13.1,1048.833743,,G6 IV,5603,3.13,1.49,-0.14,3.64,43.3636339,-8.8480392,123.801,7.89,0,
HD 180314 b,HD 180314,1,1,Radial Velocity,2010,Subaru Telescope,394.73,1.448,0.247,12,7216.929638,,K0,4917,9.2,2.6,0.2,2.98,288.7094401,31.8604391,122.362,6.61519,0,
HD 180617 b,HD 180617,2,1,Radial Velocity,2018,Calar Alto Observatory,105.911,0.343,0.101,3.53,12.214,,M2.5 V,3534,0.481,0.484,-0.04,4.9,289.2277322,5.1631615,5.91059,9.12,0,
HD 180902 b,HD 180902,2,1,Radial Velocity,2009,W. M. Keck Observatory,510.9,1.4,0.107,13.5,535.54355,,K0 III/IV,4961,4.16,1.41,0.04,3.36,289.8239604,-23.5582432,104.577,7.78,0,
HD 181234 b,HD 181234,1,1,Radial Velocity,2019,La Silla Observatory,7593.40512,7.427,0.726,12.5,2980.912629,,G8 IV,5386,1.059423,0.94,0.32,4.374546,289.9998695,-9.32497,47.7458,8.59,0,
HD 181342 b,HD 181342,1,1,Radial Velocity,2009,W. M. Keck Observatory,564.1,1.592,0.022,13.2,807.2882,,K0 III,4945,4.71,1.69,0.26,3.28,290.2674078,-23.6196996,120.391,7.55,0,
HD 18143 b,HD 18143,1,2,Radial Velocity,2022,Multiple Observatories,10.2851,0.088,0.224,3.28,10.80616584,,K2,5078,0.87,0.85,0.28,4.51,43.9140248,26.8723829,22.5243,7.518,0,
HD 18143 c,HD 18143,1,2,Radial Velocity,2022,Multiple Observatories,28982.41764,17.53,0.194,12.5,3177.648413,,K2,5078,0.87,0.85,0.28,4.51,43.9140248,26.8723829,22.5243,7.518,0,
HD 181433 b,HD 181433,1,3,Radial Velocity,2008,La Silla Observatory,9.3743,0.08,0.4,2.4,6.3566,,K3 IV,4918,0.79,0.63,0.38,4.45,291.2873731,-66.4677838,26.8762,8.4,0,
HD 181433 c,HD 181433,1,3,Radial Velocity,2008,La Silla Observatory,962,1.76,0.28,14.1,203,,K3 IV,4962,0.79,0.78,0.33,4.37,291.2873731,-66.4677838,26.8762,8.4,0,
HD 181433 d,HD 181433,1,3,Radial Velocity,2008,La Silla Observatory,2172,3,0.48,14.2,171,,K3 IV,4962,0.79,0.78,0.33,4.37,291.2873731,-66.4677838,26.8762,8.4,0,
HD 181720 b,HD 181720,1,1,Radial Velocity,2009,La Silla Observatory,956,1.85,0.26,14,127.132,,G1 V,5736,1.5,1.03,-0.62,4.09,290.7212224,-32.9208401,60.2046,7.84,0,
HD 183263 b,HD 183263,1,2,Radial Velocity,2004,W. M. Keck Observatory,624.87404,1.46,0.383,13.1,1103.182401,,G2 IV,5948,1.23,1.06,0.2776,4.37,292.1022982,8.3579183,54.1955,7.86,0,
HD 183263 c,HD 183263,1,2,Radial Velocity,2008,W. M. Keck Observatory,4667.97841,5.585,0.051,12.5,2958.982469,,G2 IV,5948,1.23,1.06,0.2776,4.37,292.1022982,8.3579183,54.1955,7.86,0,
HD 183579 b,HD 183579,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),17.471291,0.1322,0.061,3.49,20.4,752,G2 V,5784,0.96,0.996,-0.038,4.45,293.2866147,-54.5327284,57.2651,8.67,0,58.1
HD 184010 b,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,286.6,0.94,0,12.1,98.52680617,,K0 III-IV,4971,4.86,1.35,-0.17,3.18,292.8401421,26.6172796,60.7993,5.88639,0,
HD 184010 c,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,484.3,1.334,0,11.8,95.3485221,,K0 III-IV,4971,4.86,1.35,-0.17,3.18,292.8401421,26.6172796,60.7993,5.88639,0,
HD 184010 d,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,836.4,1.92,0,14.3,143.0227832,,K0 III-IV,4971,4.86,1.35,-0.17,3.18,292.8401421,26.6172796,60.7993,5.88639,0,
HD 18438 b,HD 18438,1,1,Radial Velocity,2023,Bohyunsan Optical Astronomical Observatory,803,2.1,0.1,12.1,6674.396547,,M2.5 III,3860,88.475,1.84,-0.4,0.9,46.5318358,79.41858,224.146,5.50474,0,
HD 185269 b,HD 185269,3,1,Radial Velocity,2006,Lick Observatory,6.83776,0.077,0.229,13.8,321.0083,,G0 IV,5923,2,1.3,0.11,3.92,294.2987668,28.499514,51.9917,6.67973,0,
HD 185283 b,HD 185283,1,1,Radial Velocity,2023,La Silla Observatory,4060,4.6,0.07,13.6,413.1769291,,K3 V,4848,0.743303,0.8,-0.06,4.59336,295.3233609,-56.3221096,31.395,9.03,0,
HD 18599 b,HD 18599,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),4.1374354,0.048,0.34,2.6,24.1,863,K2 V,5145,0.767,0.863,0,4.54,44.2620144,-56.1918694,38.5653,8.99,0,145
HD 187085 b,HD 187085,1,1,Radial Velocity,2006,Anglo-Australian Telescope,1019.74,2.1,0.251,13.9,265.70588,,G0 V,6117,1.27,1.189,0.12,4.279,297.3915731,-37.7809929,45.8993,7.22,0,
HD 187123 b,HD 187123,1,2,Radial Velocity,1998,W. M. Keck Observatory,3.0965828,0.0426,0.0103,14.2,166.218,,G3 V,5790,1.15043,1.04,0.09,4.33338,296.7428786,34.41899,45.9548,7.83,0,
HD 187123 c,HD 187123,1,2,Radial Velocity,2008,W. M. Keck Observatory,3810,4.89,0.252,13.4,632.46,,G3 V,5790,1.15043,1.04,0.09,4.33338,296.7428786,34.41899,45.9548,7.83,0,
HD 18742 b,HD 18742,1,1,Radial Velocity,2011,W. M. Keck Observatory,766,1.82,0.04,13.1,1080.622,,G8/K0 IV,4940,5.13,1.36,-0.04,3.09,45.0443115,-20.8027024,162.685,7.81,0,
HD 188015 b,HD 188015,2,1,Radial Velocity,2004,W. M. Keck Observatory,461.2,1.203,0.137,13.6,476.72,,G5 IV,5746,1.125296,1.09,0.289,4.445,298.0191857,28.0999769,50.6706,8.24,0,
HD 188641 b,HD 188641,1,1,Radial Velocity,2022,Multiple Observatories,14583.81038,12.027,0.034,11.9,9333.031172,,,5897.32,1.94492,1.07,-0.08,3.88965,299.4048303,-37.7448845,64.3399,7.34,0,
HD 189567 b,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,14.288,0.111,0.189,2.85,8.5,,G3 V,5726,1.04,0.83,-0.24,4.41,301.3959616,-67.3237992,17.9055,6.074,0,
HD 189567 c,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,33.688,0.197,0.16,2.54,7,,G3 V,5726,1.04,0.83,-0.24,4.41,301.3959616,-67.3237992,17.9055,6.074,0,
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,Haute-Provence Observatory,2.21857567,0.03126,0,12.66617,359.1479,1209,K2 V,5052,0.75,0.79,-0.02,4.49,300.1821223,22.7097759,19.7638,7.67,0,356
HD 190007 b,HD 190007,1,1,Radial Velocity,2020,Multiple Observatories,11.724128,0.092,0.136,4.06,15.5,,K4 V,4610,0.79,0.77,0.16,4.58,300.6956339,3.3266992,12.7141,7.46,0,
HD 190228 b,HD 190228,1,1,Radial Velocity,2022,Multiple Observatories,1143.59858,2.406,0.559,12.9,1598.676887,,G5 IV,5360,2.58658,1.415,-0.24,4.02,300.7537294,28.3065564,62.7146,7.3,0,
HD 190360 b,HD 190360,2,2,Radial Velocity,2003,Haute-Provence Observatory,2854,3.9,0.34,13.4,572.0911326,150,G V,5552,1.14,1,0.25,4.298158,300.9092476,29.894541,16.0069,5.738,0,
HD 190360 c,HD 190360,2,2,Radial Velocity,2005,W. M. Keck Observatory,17.111,0.1304,0.237,4.59,19.069,,G6 IV,5549,1.16804,0.98,0.19,4.29438,300.9092476,29.894541,16.0069,5.738,0,
HD 190647 b,HD 190647,1,1,Radial Velocity,2007,La Silla Observatory,1176.45,2.231,0.224,13.4,630.89255,,G5 V,5656,1.376,1.069,0.23,4.162,301.8318167,-35.5395236,54.4738,7.78,0,
HD 190984 b,HD 190984,1,1,Radial Velocity,2009,La Silla Observatory,4885,5.5,0.57,13,1137.825697,,F8 V,5988,1.53,0.91,-0.48,4.02,302.8779827,-64.6202728,148.187,8.76,0,
HD 191806 b,HD 191806,1,1,Radial Velocity,2016,Haute-Provence Observatory,1603.38923,2.749,0.213,12.5,2966.610351,,K0,6010,1.40223,1.07,0.3,4.45,302.368758,52.2767265,65.6668,8.09,0,
HD 191939 b,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.8803256,0.0804,0.031,3.41,10,880,G9 V,5348,0.94,0.81,-0.15,4.3,302.0256247,66.8503014,53.6089,8.97,0,100
HD 191939 c,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),28.579743,0.1752,0.034,3.195,8,600,G9 V,5348,0.94,0.81,-0.15,4.3,302.0256247,66.8503014,53.6089,8.97,0,21
HD 191939 d,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),38.353037,0.2132,0.031,2.995,2.8,540,G9 V,5348,0.94,0.81,-0.15,4.3,302.0256247,66.8503014,53.6089,8.97,0,14.3
HD 191939 e,HD 191939,1,6,Radial Velocity,2022,W. M. Keck Observatory,101.12,0.407,0.031,13,112.2,390,G9 V,5348,0.94,0.81,-0.15,4.3,302.0256247,66.8503014,53.6089,8.97,0,3.9
HD 191939 f,HD 191939,1,6,Radial Velocity,2022,W. M. Keck Observatory,2898,3.71,0,13.2,915.3458122,125,G9 V,5348,0.94,0.81,-0.15,4.3,302.0256247,66.8503014,53.6089,8.97,0,
HD 191939 g,HD 191939,1,6,Radial Velocity,2022,Multiple Observatories,284,0.812,0.03,3.74,13.5,278,G9 V,5348,0.94,0.81,-0.15,4.3,302.0256247,66.8503014,53.6089,8.97,0,0.99
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,La Silla Observatory,24.3556,0.15,0.05,14.2,177.9848,486,K2 V,4976,0.74,0.66,0.03,4.51,303.4990864,-0.8657574,19.6359,7.79,0,
HD 192310 b,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,74.72,0.32,0.13,4.27,16.9,355,K3V,5166,0.857922,0.8,-0.04,4.51,303.8284712,-27.0337556,8.79687,5.73,0,
HD 192310 c,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,525.8,1.18,0.32,5.25,24,185,K3V,5166,0.857922,0.8,-0.04,4.51,303.8284712,-27.0337556,8.79687,5.73,0,
HD 192699 b,HD 192699,1,1,Radial Velocity,2007,Lick Observatory,340.94,1.063,0.082,13.4,666.17168,,G8 IV,5041,4.41,1.38,-0.15,3.25,304.0248392,4.5805708,71.8627,6.45591,0,
HD 194490 b,HD 194490,1,1,Radial Velocity,2022,Multiple Observatories,13092.18348,11.116,0.251,12.4,3561.902957,,,5861.32,1.14911,1.06,0.08,4.34265,306.9980087,-51.6644646,80.2349,8.99,0,
HD 195019 b,HD 195019,2,1,Radial Velocity,1998,Lick Observatory,18.20132,0.14,0.01,13,1264.9634,,G3 IV-V,5751,1.48,1.21,0.05,4.18,307.0792427,18.7692509,37.6681,6.87591,0,
HD 196050 b,HD 196050,3,1,Radial Velocity,2002,Anglo-Australian Telescope,1392,2.65,0.2,12.9,1493.793513,,G3 V,5879,1.42,1.27,0.229,4.25,309.4637796,-60.6347649,50.6742,7.5,0,
HD 196067 b,HD 196067,2,2,Radial Velocity,2012,La Silla Observatory,3413.7,4.71,0.56292,12.4,3623.24384,,G0 V,6072,1.71,1.16,0.213,4.09,310.4364195,-75.3514992,39.9346,6.51,0,
HD 196067 c,HD 196067,2,2,Radial Velocity,2025,La Silla Observatory,4.601088,,0.235,3.21,10.4,,G0 V,6072,1.71,1.16,0.213,4.09,310.4364195,-75.3514992,39.9346,6.51,0,
HD 19615 b,HD 19615,1,1,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,402,1.1,0.2,12.6,2701.54146,,K0,4263,32.3,1.1,-0.31,1.4,48.7813299,73.868015,265.155,6.55594,0,
HD 196885 A b,HD 196885 A,2,1,Radial Velocity,2007,Haute-Provence Observatory,1333,2.37,0.48,13.2,819.97,,F8 V,6254,1.31,1.28,0.22,4.31,309.9664609,11.2500236,34.1692,6.39677,0,
HD 197037 b,HD 197037,2,1,Radial Velocity,2012,McDonald Observatory,1035.7,2.07,0.22,13.9,251,,F7 V,6150,1.105,1.11,-0.2,4.4,309.8869681,42.247593,33.1944,6.82294,0,
HD 199509 b,HD 199509,1,1,Radial Velocity,2022,Multiple Observatories,99.62167,0.426,0.373,7.43,43.22466335,,G3V,5796.02,0.92,1.04,-0.3075,4.51,317.3445632,-82.0274926,24.3056,6.98,0,
HD 19994 b,HD 19994,3,1,Radial Velocity,2003,La Silla Observatory,466.2,1.305,0.063,13.6,435.41,,F8 V,6188,1.79647,1.365,0.27,4.29,48.1943193,-1.1963955,22.5242,5.06345,0,
HD 20003 b,HD 20003,1,2,Radial Velocity,2019,La Silla Observatory,11.8482,0.0974,0.36,3.43,11.66,,G8 V,5494,0.921637,0.875,0.04,4.41,46.9090081,-72.3219221,41.8316,8.39,0,
HD 20003 c,HD 20003,1,2,Radial Velocity,2019,La Silla Observatory,33.9239,0.1964,0.1,3.89,14.44,,G8 V,5494,0.921637,0.875,0.04,4.41,46.9090081,-72.3219221,41.8316,8.39,0,
HD 200964 b,HD 200964,1,2,Radial Velocity,2010,Lick Observatory,606.3,1.565,0.087,13.5,508.21017,,G8 IV,4982,4.92,1.39,-0.15,3.22,316.6664183,3.8033357,72.5922,6.48605,0,
HD 200964 c,HD 200964,1,2,Radial Velocity,2010,Lick Observatory,852.5,1.96,0.243,13.7,385.84562,,G8 IV,4982,4.92,1.39,-0.15,3.22,316.6664183,3.8033357,72.5922,6.48605,0,
HD 202206 c,HD 202206,2,1,Radial Velocity,2004,La Silla Observatory,1260,2.41,0.22,12.2,5689.157,,G6 V,5766,1.04,1.07,0.3,4.5,318.7405221,-20.7897284,45.9665,8.08,0,
HD 202696 b,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,517.8,1.566,0.011,,634.38868,,K0 III-IV,5040,6.43,1.91,0.02,3.11,319.2250346,27.2582799,188.546,8.23,0,
HD 202696 c,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,946.6,2.342,0.028,,592.43512,,K0 III-IV,5040,6.43,1.91,0.02,3.11,319.2250346,27.2582799,188.546,8.23,0,
HD 202772 A b,HD 202772 A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.308958,0.05208,0.038,17.317905,323.23311,2132,,6272,2.591,1.72,0.3,3.848,319.6995877,-26.6163743,161.498,8.324,0,3440
HD 203030 b,HD 203030,1,1,Imaging,2006,Palomar Observatory,,487.1,,14.4595851,3496.112477,1040,G8 V,5603,0.856458,0.94,0.3,4.64,319.7432238,26.2305846,39.2503,8.45,0,
HD 20329 b,HD 20329,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.926118,0.018,0,1.72,7.42,2141,,5596,1.13,0.9,-0.07,4.4,49.178124,15.6563542,63.6796,8.76,0,3474
HD 203387 b,HD 203387,1,2,Radial Velocity,2022,Multiple Observatories,512.5352,1.771,0.732,13.1,1106.042856,,,5174.32,10.5852,2.817,0.05,,320.561782,-16.8345229,61.7477,4.28,0,
HD 203387 c,HD 203387,1,2,Radial Velocity,2022,Multiple Observatories,2481.07227,5.067,0.202,12.6,2378.945626,,,5174.32,10.5852,2.817,0.05,,320.561782,-16.8345229,61.7477,4.28,0,
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1120,2.2,0.71,12.7,1999.1507,,G2/G3 IV/V,5945,1.19,1.23,0.3,4.38,6.0851069,-56.649988,85.6922,9,0,
HD 204313 b,HD 204313,1,3,Radial Velocity,2010,La Silla Observatory,2041.11539,3.185,0.1,12.9,1466.778098,,G5 V,5767,1.1,1.03,0.18,4.37,322.0510568,-21.7274194,47.7945,7.99,0,
HD 204313 c,HD 204313,1,3,Radial Velocity,2015,La Silla Observatory,34.95875,0.211,0.059,4.31,17.16273398,,G5 V,5767,1.1,1.03,0.18,4.37,322.0510568,-21.7274194,47.7945,7.99,0,
HD 204313 e,HD 204313,1,3,Radial Velocity,2022,Multiple Observatories,7325.64666,7.457,0.253,12.2,4868.17771,,G5 V,5767,1.1,1.03,0.18,4.37,322.0510568,-21.7274194,47.7945,7.99,0,
HD 204941 b,HD 204941,2,1,Radial Velocity,2011,La Silla Observatory,1733,2.55,0.37,10.1,73.1009,,K1/2V,5026,0.78,0.58,-0.19,4.42,323.0966714,-20.957957,28.7165,8.45,0,
