planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
Kepler-1238 b,Kepler-1238,1,1,Transit,2016,Kepler,4.14787559,0.0541,0,1.93,4.38,1389,,6386,1.48,1.3,0.05,4.21,297.9057655,40.1628378,1632.13,14.919,0,1195.201
Kepler-1239 b,Kepler-1239,1,1,Transit,2016,Kepler,5.19104016,0.0625,0,2.9,8.75,1183,,6564,1.57,1.4,0.22,4.2,293.1273357,42.3200578,2140.6,15.391,0,462.91
Kepler-124 b,Kepler-124,1,3,Transit,2014,Kepler,3.410493,0.039,0,0.73,0.315,892,,4984,0.636,0.706,-0.46,4.669,286.7527322,49.0648788,420.046,14.4,0,198.843
Kepler-124 c,Kepler-124,1,3,Transit,2014,Kepler,13.821375,0.1,0,1.75,3.71,560,,4984,0.636,0.706,-0.46,4.669,286.7527322,49.0648788,420.046,14.4,0,30.716
Kepler-124 d,Kepler-124,1,3,Transit,2014,Kepler,30.950851,0.17,0,1.11,1.41,428,,4984,0.636,0.706,-0.46,4.669,286.7527322,49.0648788,420.046,14.4,0,10.499
Kepler-1240 b,Kepler-1240,1,1,Transit,2016,Kepler,4.8663815,0.05791,0,1.15,1.6,1121,,5682,0.96,0.98,0.04,4.47,282.9997682,40.5574322,862.186,14.092,0,539.129
Kepler-1241 b,Kepler-1241,1,1,Transit,2016,Kepler,18.5525701,0.1336,0,2.63,7.41,612,,5261,0.8,0.84,-0.09,4.56,294.5762033,38.4569588,968.722,15.886,0,31.456
Kepler-1242 b,Kepler-1242,1,1,Transit,2016,Kepler,13.62798432,0.1039,0,2.26,5.73,639,,4895,0.74,0.77,-0.05,4.6,284.6062174,41.196344,687.615,15.714,0,28.998
Kepler-1243 b,Kepler-1243,1,1,Transit,2016,Kepler,16.8320729,0.1256,0,1.75,3.71,690,,5667,0.94,0.96,0.01,4.48,294.009397,42.8807779,758.17,14.898,0,36.162
Kepler-1244 b,Kepler-1244,1,1,Transit,2016,Kepler,3.70428172,0.0502,0,1.35,2.39,1839,,6680,1.77,1.46,0.05,4.1,282.3012505,46.5161814,1075.81,12.444,0,4756.325
Kepler-1245 b,Kepler-1245,1,2,Transit,2016,Kepler,4.35409304,0.0484,0,1.44,2.67,1043,,5306,0.83,0.86,-0.01,4.55,290.7443078,43.260753,805.936,15.582,0,194.344
Kepler-1245 c,Kepler-1245,1,2,Transit,2016,Kepler,2.936584681,0.0372,0,1.44,2.67,1190,,5306,0.83,0.86,-0.01,4.55,290.7443078,43.260753,805.936,15.582,0,328.984
Kepler-1246 b,Kepler-1246,1,1,Transit,2016,Kepler,11.32271513,0.0848,0,1.36,2.42,554,,4611,0.69,0.73,-0.03,4.63,287.6572346,48.9822053,436.505,15.27,0,26.451
Kepler-1247 b,Kepler-1247,1,1,Transit,2016,Kepler,13.71220213,0.1091,0,2.33,6.04,676,,5303,0.82,0.86,-0.05,4.55,294.5335974,46.6182365,1045.92,15.925,0,41.472
Kepler-1248 b,Kepler-1248,1,1,Transit,2016,Kepler,7.46725407,0.0806,0,1.18,1.76,1035,,6149,1.21,1.21,0.24,4.36,288.0592191,51.3544564,593.026,12.9,0,271.25
Kepler-1249 b,Kepler-1249,1,1,Transit,2016,Kepler,24.3347127,0.167,0,2.38,6.26,647,,6202,1.28,1.19,0.06,4.29,296.8948517,44.3717429,1904.54,15.391,0,98.336
Kepler-125 b,Kepler-125,1,2,Transit,2014,Kepler,4.164389,0.041,0,2.37,6.21,590,M1 V,3810,0.512,0.542101,-0.14,4.744,298.2581101,47.6050031,183.365,15.431,0,33.184
Kepler-125 c,Kepler-125,1,2,Transit,2014,Kepler,5.774464,0.051,0,0.74,0.33,529,M1 V,3810,0.512,0.542101,-0.14,4.744,298.2581101,47.6050031,183.365,15.431,0,16.81
Kepler-1250 b,Kepler-1250,1,1,Transit,2016,Kepler,2.607543834,0.0393,0,1.92,4.35,1431,,5717,0.98,0.99,0.04,4.46,287.7938184,45.9802492,2126.85,15.693,0,1866.193
Kepler-1251 b,Kepler-1251,1,1,Transit,2016,Kepler,45.0904643,0.2478,0,1.84,4.04,487,,5545,0.89,0.92,-0.04,4.51,292.1151093,49.2563792,902.204,15.024,0,13.78
Kepler-1252 b,Kepler-1252,1,1,Transit,2016,Kepler,15.0540329,0.1078,0,1.67,3.43,665,,5949,1.09,1.06,0.03,4.38,298.9503634,46.6928437,648.979,14.743,0,57.579
Kepler-1253 b,Kepler-1253,1,1,Transit,2016,Kepler,68.8861915,0.31444,0,1.33,2.33,501,,5850,1.1,0.97,-0.14,4.33,283.8852196,47.6371507,514.524,12.588,0,21.624
Kepler-1254 b,Kepler-1254,1,3,Transit,2016,Kepler,9.99113313,0.0833,0,1.55,3.02,660,,4985,0.75,0.78,-0.1,4.59,285.1733174,48.7700099,622.818,15.541,0,33.978
Kepler-1254 c,Kepler-1254,1,3,Transit,2016,Kepler,3.60084276,0.0422,0,1.3,2.24,927,,4985,0.75,0.78,-0.1,4.59,285.1733174,48.7700099,622.818,15.541,0,132.391
Kepler-1254 d,Kepler-1254,1,3,Transit,2016,Kepler,5.72717226,0.0575,0,1.31,2.27,794,,4985,0.75,0.78,-0.1,4.59,285.1733174,48.7700099,622.818,15.541,0,71.31
Kepler-1255 b,Kepler-1255,1,1,Transit,2016,Kepler,36.2919336,0.2226,0,2.32,5.99,694,,6018,1.12,1.08,0.02,4.37,295.2392569,42.7264842,1617.07,15.308,0,39.671
Kepler-1256 b,Kepler-1256,1,1,Transit,2016,Kepler,12.4127754,0.10733,0,1.49,2.83,933,,6129,1.36,1.17,0.05,4.23,291.4742443,44.6834119,891.192,13.685,0,211.549
Kepler-1257 b,Kepler-1257,1,1,Transit,2016,Kepler,2.668313762,0.0376,0,1.52,2.92,1252,,5502,0.87,0.9,-0.09,4.52,296.0756231,45.6270165,1105.95,15.644,0,546.908
Kepler-1258 b,Kepler-1258,1,1,Transit,2016,Kepler,0.984940167,0.01824,0,0.86,0.566,2335,,5839,0.99,0.99,-0.07,4.45,285.4049723,49.9948186,717.555,13.929,0,2775
Kepler-1259 b,Kepler-1259,1,1,Transit,2016,Kepler,0.663085258,0.0141,0,1.43,2.63,1681,,5053,0.77,0.8,-0.07,4.58,297.8414628,46.9676288,805.562,15.556,0,2460.582
Kepler-126 b,Kepler-126,1,3,Transit,2014,Kepler,10.495711,0.099,0.07,1.52,4.11726105,1009,,6239,1.358,1.108,-0.16,4.247,289.3473634,44.2084445,237.401,10.505,0,298.088
Kepler-126 c,Kepler-126,1,3,Transit,2014,Kepler,21.869741,0.162,0.19,1.58,1.27942148,790,,6239,1.358,1.108,-0.16,4.247,289.3473634,44.2084445,237.401,10.505,0,112.128
Kepler-126 d,Kepler-126,1,3,Transit,2014,Kepler,100.283134,0.448,0.02,2.5,54.59018723,475,,6239,1.358,1.108,-0.16,4.247,289.3473634,44.2084445,237.401,10.505,0,14.714
Kepler-1260 b,Kepler-1260,1,1,Transit,2016,Kepler,19.1187753,0.1444,0,1.77,3.78,823,,5961,1.08,1.06,0.01,4.39,295.5912652,42.5552261,1734.43,14.953,0,171.926
Kepler-1261 b,Kepler-1261,1,1,Transit,2016,Kepler,48.4308991,0.239,0,2.26,5.73,396,,5006,0.77,0.82,0.03,4.58,285.2324786,48.8066963,744.294,15.817,0,4.744
Kepler-1262 b,Kepler-1262,1,1,Transit,2016,Kepler,8.67900242,0.083,0,1.82,3.97,949,,5771,0.98,0.99,-0.02,4.45,288.7718287,42.2131694,1054.87,15.155,0,142.545
Kepler-1263 b,Kepler-1263,1,1,Transit,2016,Kepler,4.55139967,0.0499,0,1.14,1.55,907,,5213,0.8,0.84,-0.03,4.56,286.483626,46.7526182,664.83,15.173,0,144.813
Kepler-1264 b,Kepler-1264,1,1,Transit,2016,Kepler,0.968526023,0.01839,0,1.18,1.76,1677,,5791,0.98,0.99,-0.02,4.45,289.8844102,45.2115075,801.993,14.629,0,2367.804
Kepler-1265 b,Kepler-1265,1,1,Transit,2016,Kepler,6.49441289,0.0612,0,1.35,2.39,732,,4630,0.69,0.71,-0.1,4.63,284.5858364,47.0795646,583.641,16.024,0,58.15
